country,year,deaths,population,death_rate_per_100k,period,vaccinated_pct,fully_vaccinated_pct
ES,2021,26804,47400798,56.54757120333713,covid_period,83.4,79.63
ES,2022,27066,47486843,56.996840156335516,covid_period,86.91,85.62
ES,2023,13069,48085361,27.17874989022127,covid_period,86.95,85.66
FR,2020,25970,67473651,38.489098507504806,covid_period,0.0,0.0
FR,2021,26596,67728568,39.268510741287194,covid_period,78.5,73.21
FR,2022,26297,68091703,38.619976944915,covid_period,80.58,78.38
FR,2023,12629,68277210,18.49665503320947,covid_period,80.63,78.44
IT,2020,40716,59641488,68.26791444237608,covid_period,0.07,
IT,2021,38194,59236213,64.47745064324081,covid_period,82.13,75.73
IT,2022,37502,59030133,63.53026512747311,covid_period,86.27,81.2
IT,2023,16739,58997201,28.372532452853147,covid_period,86.28,81.21
NL,2021,9759,17475415,55.84416736312128,covid_period,70.68,65.97
NL,2022,10140,17590672,57.644187783161435,covid_period,71.61,66.98
NL,2023,5047,17811291,28.335958353608394,covid_period,71.64,67.0
PL,2020,29602,37958138,77.98591174308919,covid_period,0.12,
PL,2021,25680,37073357,69.26807302613572,covid_period,54.38,52.8
PL,2022,24034,36889761,65.15086936995877,covid_period,57.33,56.76
PL,2023,11392,36753736,30.995488458642683,covid_period,57.4,56.83
TR,2021,111701,83614362,133.59068625076634,covid_period,66.69,60.47
TR,2022,107883,84680273,127.40039229679859,covid_period,67.89,62.31
